"IDs","Arabinose","Galactose","Glucose","Xylose","Mannose","insoluble.lignin","soluble.lignin","holocellulose","alpha.cellulose","hemicellulose","Syringyl.lignin.monomers....","Fiber.length.Lw..length.weighted.","MFA..first.growth.ring.from.bark.","MFA..first.growth.ring.from.pith.","X.crystallinity..w_c.","average.wood.density","total.lignin"
"SKWA-24-5",0.479668813,0.19056284,48.81309493,18.03011836,3.183270088,19.44990177,2.7509079,70.09536785,41.52576427,28.56960358,68.23,1.034,17.49,18.8,49.02,390.52,22.20080967
"SKWB-24-2",0.580035131,0.554701303,53.03743936,19.54667059,2.777776567,18.5282523,2.95708398,71.58590308,43.09877694,28.48712615,69.12,1.061,20.96,23.59,49.75,394.06,21.48533628
"SKWB-24-3",0.590184024,0.248525235,47.84144164,18.73614778,3.458394789,17.73142112,3.144541899,66.7721519,38.78603786,27.98611404,72.91,0.809,19.28,22.16,51.55,413.32,20.87596302
"SKWB-24-4",0.5369234,0.130420271,47.27665727,20.55971804,3.792229977,18.9206762,3.150638373,72.37099935,40.48517503,31.88582432,71.97,0.842,19.04,22.52,47.39,449.99,22.07131458
"SKWC-24-1",0.519260219,0.399686837,52.04352238,19.76283209,3.359601916,18.00643087,3.243262204,71.75102599,42.56783536,29.18319063,71.46,1.007,18.8,20.24,49.02,378.4,21.24969307
"SKWC-24-3",0.488425124,0.119011585,47.77233578,20.43084214,3.281349292,18.55053191,2.986913685,67.92899408,39.92261793,28.00637615,68.2,0.899,18.68,19.64,46.3,425.98,21.5374456
"SKWC-24-4",0.591983238,0.365997757,49.24036042,20.51793147,3.746123064,18.29710145,3.251893939,70.56179775,39.8284,30.73339775,70.86,0.905,18.68,19.4,49.75,413.1,21.54899539
"SKWD-24-3",0.563315251,0.179982946,55.05779475,21.23748542,3.394099951,18.7088274,2.879476584,64.98951782,37.59403561,27.39548221,70.22,0.954,21.08,21.92,46.95,383.4,21.58830399
"SKWD-24-4",0.406986893,0.111236952,52.60562611,20.24082774,3.669585131,15.59343434,3.524449036,68.90282132,42.06966871,26.83315261,74.32,0.946,19.04,20.48,51.02,401.88,19.11788338
"SKWD-24-5",0.414678712,0.457974977,53.44050542,17.8567097,3.150739724,15.7635468,3.292795567,72.03667322,44.75425402,27.28241919,74.42,0.924,19.52,21.08,51.02,424.61,19.05634236
"SKWE-24-1",0.518850524,0.244576548,50.91933371,19.54077325,2.266188509,17.24590164,3.211087928,68.71325931,41.1010798,27.61217951,70.98,0.935,20.6,19.4,53.76,432.65,20.45698957
"SKWE-24-3",0.475172186,0.134431966,45.81504188,20.52893988,2.997748936,19.87616099,2.918857304,67.44047619,37.96463711,29.47583908,73.63,0.8,19.16,20.84,50.25,403.22,22.79501829
"SKWE-24-4",0.490733051,0.168100565,49.68892466,18.30186175,3.397569067,19.87538941,2.481081847,65.97717546,38.74319487,27.23398059,70.08,0.975,20.24,24.55,51.28,428.93,22.35647125
"SKWE-24-5",0.503868466,0.259465344,51.16122104,21.04703629,3.747692925,17.6879343,2.624533395,69.94468347,40.51137769,29.43330578,71.62,0.936,18.44,19.76,47.62,371.62,20.3124677
"SKWF-24-2",0.485126475,0.280915157,51.88834156,20.17317925,3.356293547,18.95341417,2.876834716,69.33823529,40.03277255,29.30546275,75.32,0.89,22.88,24.67,48.54,442.4,21.83024888
"SKWF-24-3",0.465069535,0.212319129,50.86112799,19.58250789,2.546254323,19.22077922,2.695100354,69.80292435,42.59043685,27.2124875,73.99,0.93,19.16,23.24,51.81,437.91,21.91587957
"SKWF-24-4",0.605432716,0.242074265,51.03434613,20.3099885,3.552268082,19.66255678,2.607191316,70.29085873,40.88166122,29.40919751,73.74,0.897,21.8,23.59,48.08,387.25,22.2697481
"SLMB-28-1",0.486542159,0.322271991,53.01182375,18.83966587,2.748397694,19.66473243,2.588359416,67.93802145,40.08074684,27.85727462,72.46,1.059,18.08,18.56,54.95,414.73,22.25309185
